,true_values,predicted_values
0,45.89778499061806,46.25505320076263
1,41.79772493045675,42.084362109856556
2,39.75704356052944,39.32446620856446
3,40.69641069978745,40.801821788472765
4,52.47206545207263,50.77161311280328
5,41.01996441691019,41.31470514667332
6,50.17570599024332,49.158642085544855
7,39.936315240759605,40.47618653081385
8,45.60510744924733,45.08347903483461
9,45.775476518960176,45.417807397432085
10,41.039326446847,40.27903038689139
11,52.17840697279962,51.35172638938833
12,27.288610412074192,28.878182173442248
13,48.619037973482406,46.589064445972326
14,43.36875317899641,42.41837335506625
15,42.286978160305814,39.658477453774154
16,42.79798151302332,41.13583303368246
17,50.033904125024236,51.105624358012975
18,43.199147876354075,41.64871639188301
19,49.77157122048804,49.49265333075455
20,42.53389081609969,40.81019777602354
21,47.46463670496241,45.417490280044305
22,45.94533380170714,45.75181864264178
23,42.991571216914494,40.61304163210109
24,54.38069344893388,51.68573763459803
25,27.50784922322258,29.212193418651943
26,47.021902093277625,46.92307569118293
27,42.61042836553251,42.752384600276855
28,39.5686785445699,39.99248869898476
29,41.15495166895778,41.46984427889306
30,54.39472777973635,51.43963560322358
31,40.28868556536001,41.98272763709362
32,50.931119293345816,49.826664575965154
33,40.51298270387803,41.14420902123415
34,45.838654480586534,45.75150152525491
35,47.09281229599469,46.085829887852384
36,40.97279141740969,40.94705287731169
37,50.93171904602657,52.01974887980863
38,29.02018225351116,29.546204663862547
39,42.83636210691035,47.257086936392625
40,39.94946171757642,43.08639584548655
41,40.08328113124588,40.32649994419445
42,40.20459924970745,41.80385552410276
43,46.02184379017819,51.77364684843327
44,40.5417189516984,42.31673888230331
45,46.597987610591375,50.16067582117485
46,40.12343952918947,41.47822026644384
47,42.02517250614002,46.085512770464604
48,42.91889142511733,46.41984113306208
49,39.832507536800755,41.281064122521386
50,49.71455905348866,52.353760125018326
51,28.352692917682,29.88021590907224
52,53.6785053222422,47.59109818160232
53,47.454936432644054,43.420407090696244
54,41.93275420380993,40.66051118940415
55,44.64409102335275,42.13786676931245
56,55.933895884983414,52.10765809364297
57,45.16547982212701,42.65075012751301
58,54.96513949561055,50.49468706638454
59,44.19653467347509,41.812231511653536
60,52.803167024360825,46.4195240156743
61,50.72580849529713,46.75385237827177
62,42.7626733265139,41.61507536773108
63,57.54322647295962,52.68777137022802
64,29.733693252332532,30.214227154281936
65,51.240519561706535,47.925109426812014
66,44.91647585076846,43.75441833590594
67,41.69180643459625,40.99452243461384
68,43.45063945847516,42.47187801452215
69,56.51865702882836,52.44166933885266
70,43.86054456536481,42.9847613727227
71,56.07099044820805,50.82869831159424
72,42.79869530427506,42.14624275686323
73,48.14948790040495,46.75353526088399
74,48.597634614803724,47.08786362348147
75,42.98625846931369,41.949086612940775
76,55.4388895502468,53.021782615437715
77,29.730890349217276,30.54823839949163
78,54.02326676581341,48.25912067202262
79,47.330254528084296,44.08842958111654
80,44.788776255546146,41.328533679824446
81,47.78630704520942,42.80588925973275
82,59.029111852840735,52.77568058406327
83,46.96162819127432,43.318772617933305
84,59.62947819662785,51.16270955680484
85,46.37393129848345,42.480254002073835
86,51.120579245337716,47.0875465060946
87,51.805904158676135,47.42187486869207
88,46.14458914871405,42.28309785815138
89,57.94416814287647,53.35579386064832
90,32.039844106909506,30.882249644702235
91,31.564517556955416,48.59313191723231
92,30.099165424915423,44.42244082632624
93,28.69175566535638,41.66254492503414
94,28.972428101428058,43.139900504942446
95,41.689600192356245,53.10969182927296
96,30.81453087169669,43.652783863143
97,28.456546985673516,51.496720802014536
98,29.724177050175555,42.81426524728353
99,34.06515637537673,47.42155775130429
100,32.963951922374214,47.75588611390177
101,29.812705007440133,42.617109103361074
102,36.50677460427451,53.689805105858014
103,26.36380023406995,31.21626088991193
104,44.63071729029708,48.92714316244201
105,40.78046647220937,44.75645207153593
106,37.81192145941535,41.996556170243835
107,39.77187114412605,43.47391175015214
108,50.84052769925584,53.443703074482656
109,40.80122896025037,43.986795108352695
110,47.51928054971663,51.83073204722423
111,39.760507750891286,43.148276492493224
112,44.29806663794355,47.755568996513986
113,43.234910017388124,48.08989735911146
114,39.687167370286836,42.95112034857077
115,49.0042888517282,54.02381635106771
116,28.52556369902228,31.550272135121624
117,55.15668119517537,49.2611544076517
118,50.497208471736755,45.09046331674563
119,46.34993535147631,42.33056741545353
120,48.73858557039927,43.807922995361835
121,60.76972575726525,53.77771431969235
122,48.89438494421017,44.32080635356239
123,58.85923833128684,52.164743292433926
124,49.04779217146255,43.48228773770292
125,53.89883123151111,48.08958024172368
126,53.474432598854726,48.423908604321156
127,46.827230323587216,43.28513159378046
128,60.47045021392773,54.3578275962774
129,32.58614046596704,31.88428338033132
130,44.92861615928361,49.595165652862306
131,40.04367362587794,45.42447456195623
132,38.97528150872084,42.664578660664134
133,39.39283192445419,44.14193424057244
134,49.15363283816683,54.111725564902954
135,40.29867432096836,44.65481759877299
136,49.241257647966044,52.49875453764453
137,38.617588006626534,43.81629898291352
138,44.25790619809691,48.423591486934285
139,43.55887793667022,48.75791984953176
140,38.71358326667116,43.61914283899107
141,49.77513820031603,54.69183884148801
142,27.486552807580246,32.21829462554192
143,49.623125449146485,49.929176898072
144,44.77281066779302,45.758485807165926
145,42.935135540630185,42.99858990587383
146,44.339198765513956,44.475945485782134
147,54.52217960296458,54.44573681011265
148,44.05986432723575,44.98882884398269
149,54.439697154787105,52.832765782854224
150,43.686733127585555,44.15031022812322
151,47.876370445577635,48.75760273214398
152,47.36094135097922,49.091931094741454
153,42.770754651271254,43.95315408420076
154,53.77817975243009,55.0258500866977
155,29.450679646459033,32.55230587075162
