,annee,mois,region,SIN_N/N-1
0,2020,1,Auvergne-Rhône-Alpes,-0.0369941908211302
1,2020,2,Auvergne-Rhône-Alpes,0.08478179426286747
2,2020,3,Auvergne-Rhône-Alpes,-0.38244124625733433
3,2020,4,Auvergne-Rhône-Alpes,-0.6969607666648152
4,2020,5,Auvergne-Rhône-Alpes,-0.29218047524801527
5,2020,6,Auvergne-Rhône-Alpes,0.1396551041735652
6,2020,7,Auvergne-Rhône-Alpes,0.07475308476628428
7,2020,8,Auvergne-Rhône-Alpes,0.09000082017862798
8,2020,9,Auvergne-Rhône-Alpes,0.10837378130871955
9,2020,10,Auvergne-Rhône-Alpes,0.019515568331590405
10,2020,11,Auvergne-Rhône-Alpes,-0.0008447461878409168
11,2020,12,Auvergne-Rhône-Alpes,0.034062203274493275
12,2020,1,Bourgogne-Franche-Comté,-0.037585093120549584
13,2020,2,Bourgogne-Franche-Comté,0.07702981873938786
14,2020,3,Bourgogne-Franche-Comté,-0.35411479756378894
15,2020,4,Bourgogne-Franche-Comté,-0.6735400322023162
16,2020,5,Bourgogne-Franche-Comté,-0.2982085653768868
17,2020,6,Bourgogne-Franche-Comté,0.11626004471296092
18,2020,7,Bourgogne-Franche-Comté,0.06530248190521504
19,2020,8,Bourgogne-Franche-Comté,0.07595537639172756
20,2020,9,Bourgogne-Franche-Comté,0.09612979771470642
21,2020,10,Bourgogne-Franche-Comté,0.019751194541825834
22,2020,11,Bourgogne-Franche-Comté,0.014022934971858358
23,2020,12,Bourgogne-Franche-Comté,0.02671884845282091
24,2020,1,Bretagne,-0.04394715878298261
25,2020,2,Bretagne,0.0596246501840656
26,2020,3,Bretagne,-0.31683039907835897
27,2020,4,Bretagne,-0.6645567452182497
28,2020,5,Bretagne,-0.28510661157233963
29,2020,6,Bretagne,0.13034286809616846
30,2020,7,Bretagne,0.07695353316062836
31,2020,8,Bretagne,0.09043675799827966
32,2020,9,Bretagne,0.10801833768632374
33,2020,10,Bretagne,0.035571365175336433
34,2020,11,Bretagne,0.07053631316906994
35,2020,12,Bretagne,0.06074164796159631
36,2020,1,Centre-Val-de-Loire,-0.054576930362359555
37,2020,2,Centre-Val-de-Loire,0.04564072626691473
38,2020,3,Centre-Val-de-Loire,-0.33056826380171733
39,2020,4,Centre-Val-de-Loire,-0.6785873994004648
40,2020,5,Centre-Val-de-Loire,-0.3067567855416543
41,2020,6,Centre-Val-de-Loire,0.10714757742313008
42,2020,7,Centre-Val-de-Loire,0.0504205525031407
43,2020,8,Centre-Val-de-Loire,0.0722752318897153
44,2020,9,Centre-Val-de-Loire,0.09733865961760291
45,2020,10,Centre-Val-de-Loire,0.03127221505903277
46,2020,11,Centre-Val-de-Loire,0.04358798849489198
47,2020,12,Centre-Val-de-Loire,0.065498133039811
48,2020,1,Grand Est,-0.043308451377736645
49,2020,2,Grand Est,0.032002039006965965
50,2020,3,Grand Est,-0.3613536431810903
51,2020,4,Grand Est,-0.6633110070273376
52,2020,5,Grand Est,-0.31291153023715157
53,2020,6,Grand Est,0.10395187735890943
54,2020,7,Grand Est,0.04704126027644295
55,2020,8,Grand Est,0.06505944166459598
56,2020,9,Grand Est,0.07542526819548234
57,2020,10,Grand Est,0.014336912490674925
58,2020,11,Grand Est,0.03611798266752464
59,2020,12,Grand Est,0.02848870331269615
60,2020,1,Hauts-de-France,-0.017926248659157595
61,2020,2,Hauts-de-France,0.05449045351407911
62,2020,3,Hauts-de-France,-0.3250811707685677
63,2020,4,Hauts-de-France,-0.6424229453853496
64,2020,5,Hauts-de-France,-0.2844719848898989
65,2020,6,Hauts-de-France,0.10508666538130806
66,2020,7,Hauts-de-France,0.05126824936044483
67,2020,8,Hauts-de-France,0.05503629207406724
68,2020,9,Hauts-de-France,0.07571681172814282
69,2020,10,Hauts-de-France,-0.0006182072955202011
70,2020,11,Hauts-de-France,0.016454397869864357
71,2020,12,Hauts-de-France,0.02659049398051727
72,2020,1,Ile-de-France,-0.03961072811900046
73,2020,2,Ile-de-France,0.006178795591161412
74,2020,3,Ile-de-France,-0.352845697287298
75,2020,4,Ile-de-France,-0.7083959945525953
76,2020,5,Ile-de-France,-0.29472837821034825
77,2020,6,Ile-de-France,0.11641346597843105
78,2020,7,Ile-de-France,0.054728703538881485
79,2020,8,Ile-de-France,0.0877284980710289
80,2020,9,Ile-de-France,0.08754392725465698
81,2020,10,Ile-de-France,0.02831038774772554
82,2020,11,Ile-de-France,0.04692311621411838
83,2020,12,Ile-de-France,0.059355938516166606
84,2020,1,Normandie,-0.0237243734467818
85,2020,2,Normandie,0.08345846198902507
86,2020,3,Normandie,-0.3226747372077893
87,2020,4,Normandie,-0.6574343202209414
88,2020,5,Normandie,-0.25622365104122957
89,2020,6,Normandie,0.1691150422430796
90,2020,7,Normandie,0.10229753586204615
91,2020,8,Normandie,0.08292878443340279
92,2020,9,Normandie,0.10722293856562692
93,2020,10,Normandie,0.024102494973871735
94,2020,11,Normandie,0.0340700986839364
95,2020,12,Normandie,0.04185383222144723
96,2020,1,Nouvelle-Aquitaine,-0.026603577779393817
97,2020,2,Nouvelle-Aquitaine,0.08795787592644566
98,2020,3,Nouvelle-Aquitaine,-0.3545728272361658
99,2020,4,Nouvelle-Aquitaine,-0.6770882702029938
100,2020,5,Nouvelle-Aquitaine,-0.2718195516280145
101,2020,6,Nouvelle-Aquitaine,0.13399468421042005
102,2020,7,Nouvelle-Aquitaine,0.0790351524311308
103,2020,8,Nouvelle-Aquitaine,0.08172282143350595
104,2020,9,Nouvelle-Aquitaine,0.09224142850325157
105,2020,10,Nouvelle-Aquitaine,0.02918239142936474
106,2020,11,Nouvelle-Aquitaine,0.05581916540167642
107,2020,12,Nouvelle-Aquitaine,0.05526571464221375
108,2020,1,Occitanie,-0.031123022859839367
109,2020,2,Occitanie,0.01514857298022454
110,2020,3,Occitanie,-0.3127732855255356
111,2020,4,Occitanie,-0.6749827726761017
112,2020,5,Occitanie,-0.26663428722464944
113,2020,6,Occitanie,0.11967435866304088
114,2020,7,Occitanie,0.061377255286585
115,2020,8,Occitanie,0.07138365263042412
116,2020,9,Occitanie,0.08965186126188418
117,2020,10,Occitanie,0.020792438645006017
118,2020,11,Occitanie,0.04142179636280208
119,2020,12,Occitanie,0.03691852422794595
120,2020,1,Pays de la Loire,-0.04810312992534149
121,2020,2,Pays de la Loire,0.06965843081250456
122,2020,3,Pays de la Loire,-0.3283411184891938
123,2020,4,Pays de la Loire,-0.688720014325142
124,2020,5,Pays de la Loire,-0.2762909893488018
125,2020,6,Pays de la Loire,0.15361141781812826
126,2020,7,Pays de la Loire,0.08787072799951168
127,2020,8,Pays de la Loire,0.08366454581443539
128,2020,9,Pays de la Loire,0.1259863120255611
129,2020,10,Pays de la Loire,0.05801216305851642
130,2020,11,Pays de la Loire,0.07885287680246589
131,2020,12,Pays de la Loire,0.08011802191415263
132,2020,1,Provence-Alpes-Côte d'Azur et Corse,-0.04044544324573851
133,2020,2,Provence-Alpes-Côte d'Azur et Corse,0.04959668984254728
134,2020,3,Provence-Alpes-Côte d'Azur et Corse,-0.33793712527688125
135,2020,4,Provence-Alpes-Côte d'Azur et Corse,-0.6535379723743864
136,2020,5,Provence-Alpes-Côte d'Azur et Corse,-0.2625185932587042
137,2020,6,Provence-Alpes-Côte d'Azur et Corse,0.13529695476180836
138,2020,7,Provence-Alpes-Côte d'Azur et Corse,0.08280736556042778
139,2020,8,Provence-Alpes-Côte d'Azur et Corse,0.0947184617147856
140,2020,9,Provence-Alpes-Côte d'Azur et Corse,0.08246571355736365
141,2020,10,Provence-Alpes-Côte d'Azur et Corse,0.021978485232628575
142,2020,11,Provence-Alpes-Côte d'Azur et Corse,0.0495101802255864
143,2020,12,Provence-Alpes-Côte d'Azur et Corse,0.030269818797240555
144,2020,1,Régions et Départements d'outre-mer,-0.08346768066258659
145,2020,2,Régions et Départements d'outre-mer,-0.04218133376649935
146,2020,3,Régions et Départements d'outre-mer,-0.2642767452850804
147,2020,4,Régions et Départements d'outre-mer,-0.5829508281082205
148,2020,5,Régions et Départements d'outre-mer,-0.27760415291406504
149,2020,6,Régions et Départements d'outre-mer,-0.012784525586684525
150,2020,7,Régions et Départements d'outre-mer,0.017583710339797554
151,2020,8,Régions et Départements d'outre-mer,0.02010968966615989
152,2020,9,Régions et Départements d'outre-mer,-0.009402346025949693
153,2020,10,Régions et Départements d'outre-mer,-0.041963432465912054
154,2020,11,Régions et Départements d'outre-mer,0.003669185861789659
155,2020,12,Régions et Départements d'outre-mer,-0.01010248738014874
156,2021,1,Auvergne-Rhône-Alpes,0.021914514954566977
157,2021,2,Auvergne-Rhône-Alpes,-0.049542556599362686
158,2021,3,Auvergne-Rhône-Alpes,0.779836940590283
159,2021,4,Auvergne-Rhône-Alpes,2.4306581503381435
160,2021,5,Auvergne-Rhône-Alpes,0.4430991801620845
161,2021,6,Auvergne-Rhône-Alpes,0.07507589848193263
162,2021,7,Auvergne-Rhône-Alpes,-0.057180074542118375
163,2021,8,Auvergne-Rhône-Alpes,-0.041057411832584156
164,2021,9,Auvergne-Rhône-Alpes,0.005905832779353748
165,2021,10,Auvergne-Rhône-Alpes,0.004630913951465976
166,2021,11,Auvergne-Rhône-Alpes,0.08952660417872749
167,2021,12,Auvergne-Rhône-Alpes,-0.009111296930178425
168,2021,1,Bourgogne-Franche-Comté,-0.005478021291148938
169,2021,2,Bourgogne-Franche-Comté,-0.0630671339076968
170,2021,3,Bourgogne-Franche-Comté,0.6907788297792379
171,2021,4,Bourgogne-Franche-Comté,2.272771894283824
172,2021,5,Bourgogne-Franche-Comté,0.47483009233886553
173,2021,6,Bourgogne-Franche-Comté,0.08036563994756563
174,2021,7,Bourgogne-Franche-Comté,-0.042537852982789004
175,2021,8,Bourgogne-Franche-Comté,-0.03232432250371131
176,2021,9,Bourgogne-Franche-Comté,0.0076192505467178595
177,2021,10,Bourgogne-Franche-Comté,-0.017765212908314898
178,2021,11,Bourgogne-Franche-Comté,0.06663976611166711
179,2021,12,Bourgogne-Franche-Comté,0.019424473477900772
180,2021,1,Bretagne,0.03830555124058499
181,2021,2,Bretagne,-0.008224848472243917
182,2021,3,Bretagne,0.5476522594753124
183,2021,4,Bretagne,2.3343874291338254
184,2021,5,Bretagne,0.41485633090020335
185,2021,6,Bretagne,0.07436950414551657
186,2021,7,Bretagne,-0.05436905959303129
187,2021,8,Bretagne,-0.03267149731918906
188,2021,9,Bretagne,-0.011756459445062095
189,2021,10,Bretagne,-0.009075193079531307
190,2021,11,Bretagne,0.028651987626163056
191,2021,12,Bretagne,-0.004441844074131951
192,2021,1,Centre-Val-de-Loire,0.011357411356652136
193,2021,2,Centre-Val-de-Loire,-0.012171001210150023
194,2021,3,Centre-Val-de-Loire,0.5497385594083195
195,2021,4,Centre-Val-de-Loire,2.376577523487116
196,2021,5,Centre-Val-de-Loire,0.39456740665587464
197,2021,6,Centre-Val-de-Loire,0.0840364951438628
198,2021,7,Centre-Val-de-Loire,-0.05318703739819264
199,2021,8,Centre-Val-de-Loire,-0.043434435697186524
200,2021,9,Centre-Val-de-Loire,-0.010032491183089354
201,2021,10,Centre-Val-de-Loire,-0.02557539197508174
202,2021,11,Centre-Val-de-Loire,0.014005499605168836
203,2021,12,Centre-Val-de-Loire,-0.008712122139500345
204,2021,1,Grand Est,-0.015376148851742433
205,2021,2,Grand Est,0.0002051564101261949
206,2021,3,Grand Est,0.5956299367562825
207,2021,4,Grand Est,2.1761203301462944
208,2021,5,Grand Est,0.4551071330845393
209,2021,6,Grand Est,0.09246868845183132
210,2021,7,Grand Est,-0.035331647594731064
211,2021,8,Grand Est,-0.01893109161463602
212,2021,9,Grand Est,0.007288770271099976
213,2021,10,Grand Est,-0.012093181373255324
214,2021,11,Grand Est,0.029228787481901053
215,2021,12,Grand Est,-0.002954290981562968
216,2021,1,Hauts-de-France,-0.0074383033964675604
217,2021,2,Hauts-de-France,-0.005407690590686687
218,2021,3,Hauts-de-France,0.5225282082046452
219,2021,4,Hauts-de-France,2.031927288319063
220,2021,5,Hauts-de-France,0.36996049893862293
221,2021,6,Hauts-de-France,0.07645552552622004
222,2021,7,Hauts-de-France,-0.046097500775891365
223,2021,8,Hauts-de-France,-0.025065544869857792
224,2021,9,Hauts-de-France,0.005714493063614823
225,2021,10,Hauts-de-France,0.011503038093868989
226,2021,11,Hauts-de-France,0.046055345244308654
227,2021,12,Hauts-de-France,0.01148130465018471
228,2021,1,Ile-de-France,0.03691629910193872
229,2021,2,Ile-de-France,-0.025640894250434365
230,2021,3,Ile-de-France,0.691302225803268
231,2021,4,Ile-de-France,2.6992230411371634
232,2021,5,Ile-de-France,0.4600732784369783
233,2021,6,Ile-de-France,0.08873283044131575
234,2021,7,Ile-de-France,-0.05944577255162953
235,2021,8,Ile-de-France,-0.042111093720031856
236,2021,9,Ile-de-France,-0.009557339332354253
237,2021,10,Ile-de-France,0.008315953342793225
238,2021,11,Ile-de-France,0.028382168549047293
239,2021,12,Ile-de-France,0.0008485364768378023
240,2021,1,Normandie,0.019419932920332172
241,2021,2,Normandie,-0.0076525021813600436
242,2021,3,Normandie,0.5413696013059459
243,2021,4,Normandie,2.261393054171588
244,2021,5,Normandie,0.34332343978634317
245,2021,6,Normandie,0.051815118118468506
246,2021,7,Normandie,-0.06550168562113301
247,2021,8,Normandie,-0.04216624858863938
248,2021,9,Normandie,-0.001554874460762412
249,2021,10,Normandie,-0.004248729551773467
250,2021,11,Normandie,0.043931310826584635
251,2021,12,Normandie,0.006141458952893641
252,2021,1,Nouvelle-Aquitaine,-0.0002586433558069423
253,2021,2,Nouvelle-Aquitaine,-0.0588751777534261
254,2021,3,Nouvelle-Aquitaine,0.712932743762104
255,2021,4,Nouvelle-Aquitaine,2.288189060990437
256,2021,5,Nouvelle-Aquitaine,0.40500601423995386
257,2021,6,Nouvelle-Aquitaine,0.0641451932967636
258,2021,7,Nouvelle-Aquitaine,-0.056023321856821906
259,2021,8,Nouvelle-Aquitaine,-0.047531666572295794
260,2021,9,Nouvelle-Aquitaine,0.01506291652077274
261,2021,10,Nouvelle-Aquitaine,-0.014717491241006075
262,2021,11,Nouvelle-Aquitaine,0.0295514671353303
263,2021,12,Nouvelle-Aquitaine,0.003366651682247701
264,2021,1,Occitanie,0.0015191325051289173
265,2021,2,Occitanie,-0.031620020913714075
266,2021,3,Occitanie,0.6306790729965066
267,2021,4,Occitanie,2.2228729043079625
268,2021,5,Occitanie,0.4173242031449289
269,2021,6,Occitanie,0.06511790815329377
270,2021,7,Occitanie,-0.06364216790912558
271,2021,8,Occitanie,-0.043234070148628234
272,2021,9,Occitanie,0.0024455787491164394
273,2021,10,Occitanie,-0.003864295219599412
274,2021,11,Occitanie,0.033144752282093126
275,2021,12,Occitanie,0.009070741181880448
276,2021,1,Pays de la Loire,0.03662192049900548
277,2021,2,Pays de la Loire,0.0027035596073405888
278,2021,3,Pays de la Loire,0.6022944856631403
279,2021,4,Pays de la Loire,2.6061971381704305
280,2021,5,Pays de la Loire,0.39484013120512995
281,2021,6,Pays de la Loire,0.06090999873621006
282,2021,7,Pays de la Loire,-0.06125460636200453
283,2021,8,Pays de la Loire,-0.04394705127334453
284,2021,9,Pays de la Loire,-0.005515368472326032
285,2021,10,Pays de la Loire,-0.02917646734806334
286,2021,11,Pays de la Loire,0.008708322916205269
287,2021,12,Pays de la Loire,-0.015406564326525873
288,2021,1,Provence-Alpes-Côte d'Azur et Corse,0.0019557258401841082
289,2021,2,Provence-Alpes-Côte d'Azur et Corse,-0.010146989607143553
290,2021,3,Provence-Alpes-Côte d'Azur et Corse,0.5905461253117228
291,2021,4,Provence-Alpes-Côte d'Azur et Corse,2.191297798549196
292,2021,5,Provence-Alpes-Côte d'Azur et Corse,0.4127560450241028
293,2021,6,Provence-Alpes-Côte d'Azur et Corse,0.06609352812846847
294,2021,7,Provence-Alpes-Côte d'Azur et Corse,-0.05422246666730546
295,2021,8,Provence-Alpes-Côte d'Azur et Corse,-0.0385756222247946
296,2021,9,Provence-Alpes-Côte d'Azur et Corse,0.009100529951580727
297,2021,10,Provence-Alpes-Côte d'Azur et Corse,-0.0004876701728195876
298,2021,11,Provence-Alpes-Côte d'Azur et Corse,0.0504842681283213
299,2021,12,Provence-Alpes-Côte d'Azur et Corse,0.02285751155591509
300,2021,1,Régions et Départements d'outre-mer,0.0222066319340557
301,2021,2,Régions et Départements d'outre-mer,-0.004209845572931803
302,2021,3,Régions et Départements d'outre-mer,0.44857517237752376
303,2021,4,Régions et Départements d'outre-mer,1.4261802951842184
304,2021,5,Régions et Départements d'outre-mer,0.39744190696134063
305,2021,6,Régions et Départements d'outre-mer,0.12407205908221264
306,2021,7,Régions et Départements d'outre-mer,-0.07280060814021683
307,2021,8,Régions et Départements d'outre-mer,-0.046661416059952776
308,2021,9,Régions et Départements d'outre-mer,-0.011169151152002232
309,2021,10,Régions et Départements d'outre-mer,0.005007488523987247
310,2021,11,Régions et Départements d'outre-mer,-0.024106439064723095
311,2021,12,Régions et Départements d'outre-mer,0.0038347824877436043
312,2022,1,Auvergne-Rhône-Alpes,-0.0018102956005020543
313,2022,2,Auvergne-Rhône-Alpes,0.007529230714623747
314,2022,3,Auvergne-Rhône-Alpes,0.024931722409279322
315,2022,4,Auvergne-Rhône-Alpes,2.9495082765951253e-05
316,2022,5,Auvergne-Rhône-Alpes,0.09116636771291442
317,2022,6,Auvergne-Rhône-Alpes,-0.05414859341313749
318,2022,7,Auvergne-Rhône-Alpes,-0.037108606220498275
319,2022,8,Auvergne-Rhône-Alpes,0.06502584159966207
320,2022,9,Auvergne-Rhône-Alpes,0.03711249154801077
321,2022,10,Auvergne-Rhône-Alpes,0.013769769574685675
322,2022,11,Auvergne-Rhône-Alpes,0.045939646012935986
323,2022,12,Auvergne-Rhône-Alpes,0.022167507692509636
324,2022,1,Bourgogne-Franche-Comté,0.03864675958631736
325,2022,2,Bourgogne-Franche-Comté,0.009405988650492025
326,2022,3,Bourgogne-Franche-Comté,0.028806740972497247
327,2022,4,Bourgogne-Franche-Comté,-0.020400325139726005
328,2022,5,Bourgogne-Franche-Comté,0.07851633306460726
329,2022,6,Bourgogne-Franche-Comté,-0.04870619386175146
330,2022,7,Bourgogne-Franche-Comté,-0.02893401749310931
331,2022,8,Bourgogne-Franche-Comté,0.04807926703458332
332,2022,9,Bourgogne-Franche-Comté,0.03493025745759648
333,2022,10,Bourgogne-Franche-Comté,0.01685821817344002
334,2022,11,Bourgogne-Franche-Comté,0.039655457040350894
335,2022,12,Bourgogne-Franche-Comté,0.012463038890982547
336,2022,1,Bretagne,0.022748298204545936
337,2022,2,Bretagne,-0.005371057615472963
338,2022,3,Bretagne,0.05921295085619005
339,2022,4,Bretagne,-0.043100327158363316
340,2022,5,Bretagne,0.10434888700328293
341,2022,6,Bretagne,-0.04518677458518405
342,2022,7,Bretagne,-0.018612048555637473
343,2022,8,Bretagne,0.04188688075386393
344,2022,9,Bretagne,0.05580076887430008
345,2022,10,Bretagne,0.024549571961653083
346,2022,11,Bretagne,0.04250786395740391
347,2022,12,Bretagne,0.017401371536874377
348,2022,1,Centre-Val-de-Loire,0.02470193228517048
349,2022,2,Centre-Val-de-Loire,-0.0043707306154093795
350,2022,3,Centre-Val-de-Loire,0.0604648510981165
351,2022,4,Centre-Val-de-Loire,-0.031114148813038534
352,2022,5,Centre-Val-de-Loire,0.13344152096364192
353,2022,6,Centre-Val-de-Loire,-0.04163224445031277
354,2022,7,Centre-Val-de-Loire,-0.012148702581923243
355,2022,8,Centre-Val-de-Loire,0.045121482869806995
356,2022,9,Centre-Val-de-Loire,0.034972000688757277
357,2022,10,Centre-Val-de-Loire,0.018805522868202473
358,2022,11,Centre-Val-de-Loire,0.05839457638653234
359,2022,12,Centre-Val-de-Loire,0.018311319037954465
360,2022,1,Grand Est,0.05730563569521552
361,2022,2,Grand Est,-0.0193609044951224
362,2022,3,Grand Est,0.053763668925830066
363,2022,4,Grand Est,-0.022812502503004817
364,2022,5,Grand Est,0.09385027240055899
365,2022,6,Grand Est,-0.052779427322680705
366,2022,7,Grand Est,-0.030506707776326025
367,2022,8,Grand Est,0.041956516435135205
368,2022,9,Grand Est,0.03338296286127185
369,2022,10,Grand Est,0.019350147335033485
370,2022,11,Grand Est,0.037043919213590515
371,2022,12,Grand Est,0.006411263678865575
372,2022,1,Hauts-de-France,0.04104834249012357
373,2022,2,Hauts-de-France,-0.014414456865742942
374,2022,3,Hauts-de-France,0.07298287250026703
375,2022,4,Hauts-de-France,-0.030710387729268818
376,2022,5,Hauts-de-France,0.1102993808538284
377,2022,6,Hauts-de-France,-0.029432312454962695
378,2022,7,Hauts-de-France,-0.011262335573833715
379,2022,8,Hauts-de-France,0.05654194671172452
380,2022,9,Hauts-de-France,0.04666571463373903
381,2022,10,Hauts-de-France,0.017441599854977063
382,2022,11,Hauts-de-France,0.04476033074043917
383,2022,12,Hauts-de-France,0.01509644320998138
384,2022,1,Ile-de-France,0.032304271763230474
385,2022,2,Ile-de-France,0.07340109485530322
386,2022,3,Ile-de-France,0.018885436805111677
387,2022,4,Ile-de-France,0.020266333556359983
388,2022,5,Ile-de-France,0.06787793013181509
389,2022,6,Ile-de-France,-0.038733808764550015
390,2022,7,Ile-de-France,-0.01625126426581991
391,2022,8,Ile-de-France,0.07555637519749214
392,2022,9,Ile-de-France,0.06232027226690873
393,2022,10,Ile-de-France,-0.0036414617814050088
